Desktop File Name	Name	Generic Name	Comments	Command	Terminal/UI	Display	Show	MIME Types	Categories	Keywords
org.kde.cantor.desktop	Cantor	Frontend to Mathematical Software	KDE Frontend to Mathematical Software	"cantor -qwindowicon cantor -qwindowtitle %c %U"	UI	OnDisplay	Shown	application/x-cantor	Qt, KDE, Education, Math, Science	
org.freedesktop.IBus.Panel.Extension.Gtk3.desktop	Emoji Choice			"/usr/libexec/ibus-extension-gtk3"	UI	NoDisplay	Shown			
org.kde.kget.desktop	KGet	Download Manager	KGet is a versatile and user-friendly download manager	"kget -qwindowtitle %c %U"	UI	OnDisplay	Shown	application/metalink+xml, application/x-bittorrent	Qt, KDE, Network, FileTransfer	
org.kde.kwave.desktop	Kwave Sound Editor	Sound Editor	A sound editor by KDE	"kwave %F"	UI	OnDisplay	Shown	audio/wav, audio/x-wav, audio/basic, audio/x-8svx, audio/x-aifc, audio/x-aiff, audio/x-avr, audio/x-caf, audio/x-ircam, audio/x-nist, audio/x-smp, audio/x-voc, audio/mpeg, audio/x-mp1, audio/x-mp2, audio/x-mp3, application/x-flac, audio/x-flac, audio/ogg, application/ogg, audio/x-ogg, application/x-ogg, audio/x-vorbis+ogg, audio/opus	Qt, KDE, AudioVideo, Audio, Player, Recorder, AudioVideoEditing	
xfce-wm-settings.desktop	Window Manager		Configure window behavior and shortcuts	"xfwm4-settings"	UI	OnDisplay	Shown		XFCE, GTK, Settings, DesktopSettings, X-XFCE-SettingsDialog, X-XFCE-PersonalSettings	windows, management, settings, preferences, themes, styles, decorations, title bar, font, buttons, menu, minimize, maximize, shade, roll up, layout, keyboard shortcuts, focus, snapping, screen, workspaces, edges, corner, hide content, move, resize, moving, resizing, double click
mozilla-thunderbird.desktop	Thunderbird	Mail Client		"thunderbird"	UI	OnDisplay	Shown		Application, Network	
org.kde.mobile.okular_chm.desktop	Reader	Document viewer	Viewer for various types of documents	"okularkirigami %u"	UI	NoDisplay	Shown	application/x-chm	Qt, KDE, Graphics, Office, Viewer	
org.kde.merkuro.contact.desktop	Merkuro Contacts	Address Book	Manage your contacts with Merkuro Contacts	"merkuro-contact"	UI	OnDisplay	Shown		Qt, KDE, Office, ContactManagement	
kcm_powerdevilglobalconfig.desktop	Advanced Power Settings			"systemsettings kcm_powerdevilglobalconfig"	UI	NoDisplay	Shown			
xfce4-terminal-settings.desktop	Xfce Terminal Settings		Configure Xfce Terminal	"xfce4-terminal --preferences"	UI	OnDisplay	Shown		XFCE, GTK, Settings, DesktopSettings, X-XFCE-SettingsDialog, X-XFCE-PersonalSettings	terminal, settings, preferences, configuration, configure
org.kde.kbackup.desktop	KBackup	Backup Program	Backup your data with an easy to use user interface	"kbackup %f"	UI	OnDisplay	Shown	text/x-kbp	Qt, KDE, Utility, Archiving	backup, archiving
openstreetmap-geo-handler.desktop	OpenStreetMap			"kde-geo-uri-handler --coordinate-template "https://www.openstreetmap.org/#map=<Z>/<LAT>/<LON>" --query-template "https://www.openstreetmap.org/search?query=<Q>" --fallback "https://www.openstreetmap.org" %u"	UI	NoDisplay	Shown	x-scheme-handler/geo		
